conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/70b0bc44-6751-4530-ac5c-a893d4241aeb,elektronické instalace budov,released,knowledge,sector-specific,zařízení zajišťující elektronicky řízený přístup do objektů,"Typy, vlastnosti a způsoby použití elektronického zařízení používaného pro přístup k zařízením, jako jsou ovládací panely na karty, čtečky karet nebo infračervené čtecí zařízení.",http://data.europa.eu/esco/isced-f/0714,elektronika a automatizace
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/70de94f5-9575-4edd-bca7-c797b023b9d6,Oracle WebLogic,released,knowledge,sector-specific,,"Oracle WebLogic je aplikační server na bázi Java EE, který slouží jako střední stupeň spojující back-end databáze se souvisejícími aplikacemi.",http://data.europa.eu/esco/isced-f/0613 | http://data.europa.eu/esco/skill/69bbd53f-fbb0-4476-b4b2-ef7844464e28,vývoj a analýza softwaru a aplikací | webové programování
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7106b5df-e017-4c28-8c40-98814db5b775,projektové řízení PRINCE2,released,knowledge,sector-specific,,"Přístup k řízení PRINCE2 je metodika pro plánování, řízení zdrojů ICT a dohled nad nimi za účelem dosažení konkrétních cílů a využívání nástrojů ICT pro řízení projektů.",http://data.europa.eu/esco/skill/bec4359e-cb92-468f-a997-8fb28e32fba9 | http://data.europa.eu/esco/isced-f/0413,metodiky řízení projektů v oblasti ICT | management a správa
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/713fb616-118e-40bc-9366-4a69879a49d5,zavádět procesy zajišťování kvality dat,released,skill/competence,cross-sector,zajišťovat kvalitu dat | zavést procesy zajištění kvality dat | ověřovat a potvrzovat kvalitu dat | zavádět proces zajištění kvality dat | ověřovat data,"Používat techniky analýzy kvality, ověřování a verifikace dat na kontrolu integrity dat.",http://data.europa.eu/esco/skill/4463a721-69f3-413d-8321-43e3af13a4f1,používat databáze
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7193cb6d-8334-494f-86e5-21e6d03a47c3,jednotný jazyk pro modelování,released,knowledge,sector-specific,jednotný modelovací jazyk | jednotné jazyky pro modelování | UML,"Univerzální modelovací jazyk, který se používá při vývoji softwaru, aby nabízel standardní vizualizaci návrhů systémů.",http://data.europa.eu/esco/skill/2450c3b3-e78e-435b-b84d-e05d984e71dc | http://data.europa.eu/esco/isced-f/0611,modely softwarové architektury | užití počítačů
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/71c2f41e-14de-4b23-82ad-5dbcd54ba5b0,nasadit systémy IKT,released,skill/competence,sector-specific,řídit nasazení systému ICT | řídit nasazení systémů ICT | navrhovat prováděcí plány | nasazovat systém | řídit uplatňování systému ICT | navrhovat plány zavádění,"Dodávat a instalovat počítače nebo systémy informačních a komunikačních technologií, zajistit testování a nastavit a připravit je k používání.
	",http://data.europa.eu/esco/skill/31d35d3d-2bf2-49aa-9c20-92566ef80277 | http://data.europa.eu/esco/skill/f839b1da-78b6-4466-86f4-a5798821ea20,používat informační a komunikační systémy | konfigurovat počítačové systémy
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/71f81e1a-e2ca-48d6-b7b8-7a34c56c51f8,přenosová technologie,released,knowledge,cross-sector,,"Technologie, které umožňují přenos analogových nebo digitálních informačních signálů z bodu do bodu nebo z bodu do více bodů za použití komunikačních kanálů nebo vysílacích médií, jako jsou optická vlákna, měděné dráty nebo způsoby bezdrátové komunikace. Informace nebo údaje jsou obvykle přenášeny jako elektromagnetické signály, jako jsou rádiové vlny nebo mikrovlny.",http://data.europa.eu/esco/isced-f/0612,vytváření a správa databází a sítí
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7234e847-451d-499a-9c7b-0050a4e758d6,používat typy obsahu,released,skill/competence,cross-sector,používat typy dat | využívat obsahové typy | používat typ obsahu | použít typ obsahu | využívat druhy obsahu | použít typy obsahu | využívat druhy dat,"Používat MIME typy a podtypy jako standardní identifikátor pro uvedení druhu údajů, které soubor obsahuje, jako je typ spojení, předmět, skript a stylové prvky a typ nosiče.",http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"řídit, získávat a uchovávat digitální data"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7253d98c-4a6d-4e37-8b6c-accca9f4b639,vyvíjet soubory testů pro ICT,released,skill/competence,sector-specific,vyvinout soubor testů pro ICT | vytvářet testy pro software | vyvíjet soubory testů pro IKT | vytvářet sady softwarových testů | navrhovat testy software,Vytvářet soubor zkušebních případů pro kontrolu chování softwaru oproti specifikacím. Tyto zkušební případy se pak použijí při následných zkouškách.,http://data.europa.eu/esco/skill/b590d4e5-7c62-4b4a-abc2-c270b482e0ce | http://data.europa.eu/esco/skill/6a322874-e32f-4cd8-9683-badce67a7f73 | http://data.europa.eu/esco/skill/5d74614d-32c8-4ca4-9818-6980e52424b1,navrhovat systémy nebo aplikace ikt | vyvíjet automatické softwarové testy | plánovat testování softwaru
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/727eb829-28da-4d6a-8552-ba5b5d280c41,instalovat obrazové zařízení,released,skill/competence,occupation-specific,,Instalovat a propojovat projekční a obrazové zařízení.,http://data.europa.eu/esco/skill/a7065828-10aa-4aba-b7d4-f23a30df5060,"provádět instalaci a opravy elektrických, elektronických a přesných zařízení"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/72812eb6-5a0f-48e8-815d-3d2a16b8e963,obsluhovat zvukový mixážní pult,released,skill/competence,sector-specific,,Obsluhovat zvukový mixážní systém během zkoušek nebo během živých vystoupení.,http://data.europa.eu/esco/skill/8ddcb295-707e-459c-ba6a-66ffb37835c5,obsluhovat audiovizuální zařízení
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7341904f-5913-470c-8c53-bc832df248ec,provádět údržbu robotických zařízení,released,skill/competence,sector-specific,,"Diagnostikovat a odhalovat závady v robotických zařízeních a systémech a v případě potřeby tyto části odstranit, vyměnit nebo opravit. Provádět preventivní údržbu zařízení, jako je skladování robotických komponent v čistých, bezprašných a nevlhkých prostorách.",http://data.europa.eu/esco/skill/5033c2fb-ec55-4b8e-b0a4-9379593f1e1c | http://data.europa.eu/esco/skill/ec0401f1-f690-46be-934b-f6f5611085f5,"provádět údržbu zařízení | provádět údržbu elektrických, elektronických a přesných zařízení"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7369f779-4b71-4aab-8836-48b69c676eec,provozovat relační systém řízení báze dat,released,skill/competence,sector-specific,,"Získávat, uchovávat a ověřovat informace pomocí systémů řízení databází založených na relačním databázovém modelu, který uspořádává data do tabulek s řádky a sloupci, jako je Oracle Database, Microsoft SQL Server a MySQL.
	",http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"řídit, získávat a uchovávat digitální data"
