ESCOURI,ID,UUIDHISTORY,PREFERREDLABEL,CODE
http://data.europa.eu/esco/isco/C1330,key_40,ac4b3d54-8163-4129-a1ed-cd5ae3c306f9,Vedoucí a řídící pracovníci v oblasti informačních a komunikačních technologií,1330
http://data.europa.eu/esco/isco/C134,key_41,ed427523-23bf-4466-9826-49f21187e7b1,"Vedoucí a řídící pracovníci v oblasti vzdělávání, zdravotnictví, v sociálních a příbuzných oblastech",134
http://data.europa.eu/esco/isco/C1341,key_42,2e5ee942-c5ab-4e46-94f3-4e37256e690e,Vedoucí a řídící pracovníci v oblasti péče o děti,1341
http://data.europa.eu/esco/isco/C1342,key_43,6c92eed5-bb19-45b2-b8b8-fe73df4c0d29,Vedoucí a řídící pracovníci v oblasti zdravotnictví,1342
http://data.europa.eu/esco/isco/C1343,key_44,73a0f56a-c6ce-43f4-8c81-8a98555ffcab,Vedoucí a řídící pracovníci v oblasti péče o seniory,1343
http://data.europa.eu/esco/isco/C1344,key_45,be36c9ac-f764-4dbf-976b-f2df8cfe61f8,Vedoucí a řídící pracovníci v sociální oblasti (kromě péče o děti a seniory),1344
http://data.europa.eu/esco/isco/C1345,key_46,7007ebbb-7fda-4e8d-b3f8-9e4d23cc1186,Vedoucí a řídící pracovníci v oblasti vzdělávání,1345
http://data.europa.eu/esco/isco/C1346,key_47,92ca0cc3-431a-4e08-bd0c-8d5645e6d0f1,Vedoucí a řídící pracovníci v oblasti finančních a pojišťovacích služeb,1346
http://data.europa.eu/esco/isco/C1349,key_48,bdd407b3-9c28-4a63-a5ca-98bcea686fbf,"Vedoucí a řídící pracovníci knihoven, muzeí, bezpečnosti a v příbuzných oblastech jinde neuvedení",1349
http://data.europa.eu/esco/isco/C14,key_49,31b39de4-006f-4825-9b0c-ccd48e2e592a,"Vedoucí a řídící pracovníci v oblasti ubytovacích a stravovacích služeb, prodeje a ostatní vedoucí a řídící pracovníci",14
