PARENTOBJECTTYPE,PARENTID,CHILDID,CHILDOBJECTTYPE
SkillGroup,key_17648,key_17654,SkillGroup
SkillGroup,key_17648,key_17655,SkillGroup
SkillGroup,key_17648,key_17656,SkillGroup
SkillGroup,key_17645,key_17657,SkillGroup
SkillGroup,key_17657,key_17658,SkillGroup
SkillGroup,key_17657,key_17659,SkillGroup
SkillGroup,key_17657,key_17660,SkillGroup
SkillGroup,key_17657,key_17661,SkillGroup
SkillGroup,key_17657,key_17662,SkillGroup
SkillGroup,key_17657,key_17663,SkillGroup
SkillGroup,key_17645,key_17664,SkillGroup
SkillGroup,key_17664,key_17665,SkillGroup
SkillGroup,key_17664,key_17666,SkillGroup
SkillGroup,key_17664,key_17667,SkillGroup
SkillGroup,key_17645,key_17668,SkillGroup
SkillGroup,key_17668,key_17669,SkillGroup
SkillGroup,key_17645,key_17670,SkillGroup
SkillGroup,key_17670,key_17671,SkillGroup
SkillGroup,key_18060,key_17672,SkillGroup
SkillGroup,key_17672,key_17673,SkillGroup
SkillGroup,key_17673,key_17674,SkillGroup
SkillGroup,key_17672,key_17675,SkillGroup
SkillGroup,key_17675,key_17676,SkillGroup
SkillGroup,key_17675,key_17677,SkillGroup
SkillGroup,key_17675,key_17678,SkillGroup
SkillGroup,key_17675,key_17679,SkillGroup
SkillGroup,key_17672,key_17680,SkillGroup
SkillGroup,key_17680,key_17681,SkillGroup
SkillGroup,key_17672,key_17682,SkillGroup
SkillGroup,key_17682,key_17683,SkillGroup
SkillGroup,key_17672,key_17684,SkillGroup
SkillGroup,key_17684,key_17685,SkillGroup
SkillGroup,key_17672,key_17686,SkillGroup
SkillGroup,key_17686,key_17687,SkillGroup
SkillGroup,key_17672,key_17688,SkillGroup
SkillGroup,key_17688,key_17689,SkillGroup
SkillGroup,key_18060,key_17690,SkillGroup
SkillGroup,key_17690,key_17691,SkillGroup
SkillGroup,key_17691,key_17692,SkillGroup
SkillGroup,key_17690,key_17693,SkillGroup
SkillGroup,key_17693,key_17694,SkillGroup
SkillGroup,key_17693,key_17695,SkillGroup
SkillGroup,key_17693,key_17696,SkillGroup
SkillGroup,key_17693,key_17697,SkillGroup
SkillGroup,key_17693,key_17698,SkillGroup
SkillGroup,key_17693,key_17699,SkillGroup
SkillGroup,key_17693,key_17700,SkillGroup
SkillGroup,key_17693,key_17701,SkillGroup
SkillGroup,key_17693,key_17702,SkillGroup
SkillGroup,key_17690,key_17703,SkillGroup
SkillGroup,key_17703,key_17704,SkillGroup
SkillGroup,key_17703,key_17705,SkillGroup
SkillGroup,key_17703,key_17706,SkillGroup
SkillGroup,key_17703,key_17707,SkillGroup
SkillGroup,key_17703,key_17708,SkillGroup
SkillGroup,key_17690,key_17709,SkillGroup
SkillGroup,key_17709,key_17710,SkillGroup
SkillGroup,key_17690,key_17711,SkillGroup
SkillGroup,key_17711,key_17712,SkillGroup
SkillGroup,key_18060,key_17713,SkillGroup
SkillGroup,key_17713,key_17714,SkillGroup
SkillGroup,key_17714,key_17715,SkillGroup
SkillGroup,key_17713,key_17716,SkillGroup
SkillGroup,key_17716,key_17717,SkillGroup
SkillGroup,key_17716,key_17718,SkillGroup
SkillGroup,key_17716,key_17719,SkillGroup
SkillGroup,key_17716,key_17720,SkillGroup
SkillGroup,key_17716,key_17721,SkillGroup
SkillGroup,key_17716,key_17722,SkillGroup
SkillGroup,key_17716,key_17723,SkillGroup
SkillGroup,key_17713,key_17724,SkillGroup
SkillGroup,key_17724,key_17725,SkillGroup
SkillGroup,key_17724,key_17726,SkillGroup
SkillGroup,key_17724,key_17727,SkillGroup
SkillGroup,key_17724,key_17728,SkillGroup
SkillGroup,key_17713,key_17729,SkillGroup
SkillGroup,key_17729,key_17730,SkillGroup
SkillGroup,key_17729,key_17731,SkillGroup
SkillGroup,key_17729,key_17732,SkillGroup
SkillGroup,key_17729,key_17733,SkillGroup
SkillGroup,key_17713,key_17734,SkillGroup
SkillGroup,key_17734,key_17735,SkillGroup
SkillGroup,key_17713,key_17736,SkillGroup
SkillGroup,key_17736,key_17737,SkillGroup
SkillGroup,key_17713,key_17738,SkillGroup
SkillGroup,key_17738,key_17739,SkillGroup
SkillGroup,key_18060,key_17740,SkillGroup
SkillGroup,key_17740,key_17741,SkillGroup
SkillGroup,key_17741,key_17742,SkillGroup
SkillGroup,key_18113,key_17743,SkillGroup
SkillGroup,key_17760,key_17744,SkillGroup
SkillGroup,key_17752,key_17745,SkillGroup
SkillGroup,key_17998,key_17746,SkillGroup
SkillGroup,key_17882,key_17747,SkillGroup
SkillGroup,key_17974,key_17748,SkillGroup
SkillGroup,key_17831,key_17749,SkillGroup
SkillGroup,key_17746,key_17750,SkillGroup
SkillGroup,key_18066,key_17751,SkillGroup
SkillGroup,,,SkillGroup
SkillGroup,key_17810,key_17753,SkillGroup
SkillGroup,key_17801,key_17754,SkillGroup
SkillGroup,key_17828,key_17755,SkillGroup
SkillGroup,key_17897,key_17756,SkillGroup
SkillGroup,key_17914,key_17757,SkillGroup
SkillGroup,key_17810,key_17758,SkillGroup
SkillGroup,key_17788,,SkillGroup
SkillGroup,key_18105,key_17759,SkillGroup
SkillGroup,key_17831,key_17760,SkillGroup
SkillGroup,key_17939,key_17761,SkillGroup
SkillGroup,key_18031,key_17762,SkillGroup
SkillGroup,key_17874,key_17763,SkillGroup
SkillGroup,key_17903,key_17764,SkillGroup
SkillGroup,key_17798,key_17765,SkillGroup
SkillGroup,key_17746,key_17766,SkillGroup
SkillGroup,key_17931,key_17767,SkillGroup
SkillGroup,key_17974,key_17768,SkillGroup
SkillGroup,key_17827,key_17769,SkillGroup
SkillGroup,key_17798,key_17770,SkillGroup
SkillGroup,key_18002,key_17771,SkillGroup
SkillGroup,key_17827,key_17772,SkillGroup
SkillGroup,key_17797,key_17773,SkillGroup
SkillGroup,key_17828,key_17774,SkillGroup
SkillGroup,key_17810,key_17775,SkillGroup
SkillGroup,key_17823,key_17776,SkillGroup
SkillGroup,key_18113,key_17777,SkillGroup
SkillGroup,key_17752,key_17778,SkillGroup
SkillGroup,key_17956,key_17779,SkillGroup
SkillGroup,key_17745,key_17780,SkillGroup
SkillGroup,key_17801,key_17781,SkillGroup
SkillGroup,key_17749,key_17782,SkillGroup
SkillGroup,key_17798,key_17783,SkillGroup
SkillGroup,key_17923,key_17784,SkillGroup
SkillGroup,key_17880,key_17785,SkillGroup
SkillGroup,key_17931,key_17786,SkillGroup
SkillGroup,key_17798,key_17787,SkillGroup
SkillGroup,key_17816,key_17788,SkillGroup
SkillGroup,key_17819,key_17789,SkillGroup
SkillGroup,key_17897,key_17790,SkillGroup
SkillGroup,key_17994,key_17791,SkillGroup
SkillGroup,key_18102,key_17792,SkillGroup
SkillGroup,key_18036,key_17793,SkillGroup
SkillGroup,key_17828,key_17794,SkillGroup
SkillGroup,key_17749,key_17795,SkillGroup
SkillGroup,key_18053,key_17796,SkillGroup
SkillGroup,key_17749,key_17797,SkillGroup
SkillGroup,key_17749,,SkillGroup
SkillGroup,key_17760,key_17798,SkillGroup
SkillGroup,key_17841,key_17799,SkillGroup
SkillGroup,key_17828,key_17800,SkillGroup
SkillGroup,key_17998,key_17801,SkillGroup
SkillGroup,key_17994,key_17802,SkillGroup
SkillGroup,key_17883,key_17803,SkillGroup
SkillGroup,key_17880,key_17804,SkillGroup
SkillGroup,key_17973,key_17805,SkillGroup
SkillGroup,key_17831,key_17806,SkillGroup
SkillGroup,key_18066,key_17807,SkillGroup
SkillGroup,key_17788,key_17808,SkillGroup
SkillGroup,key_17931,key_17809,SkillGroup
SkillGroup,key_18105,key_17810,SkillGroup
SkillGroup,key_17812,key_17811,SkillGroup
SkillGroup,key_17806,key_17812,SkillGroup
SkillGroup,key_17890,key_17813,SkillGroup
SkillGroup,key_17903,key_17814,SkillGroup
SkillGroup,key_18039,key_17815,SkillGroup
SkillGroup,key_17831,key_17816,SkillGroup
SkillGroup,key_17745,key_17817,SkillGroup
SkillGroup,key_17751,key_17818,SkillGroup
SkillGroup,key_17998,key_17819,SkillGroup
SkillGroup,key_17954,key_17820,SkillGroup
SkillGroup,key_18002,key_17821,SkillGroup
SkillGroup,key_17964,key_17822,SkillGroup
SkillGroup,key_18105,key_17823,SkillGroup
SkillGroup,key_17795,key_17824,SkillGroup
SkillGroup,key_17914,key_17825,SkillGroup
SkillGroup,key_18064,key_17826,SkillGroup
SkillGroup,key_18105,key_17827,SkillGroup
SkillGroup,key_17760,key_17828,SkillGroup
SkillGroup,key_18107,key_17829,SkillGroup
SkillGroup,key_17759,key_17830,SkillGroup
SkillGroup,key_17885,key_17832,SkillGroup
SkillGroup,key_17885,key_17833,SkillGroup
SkillGroup,key_18041,key_17834,SkillGroup
SkillGroup,key_17810,key_17835,SkillGroup
SkillGroup,key_17973,key_17836,SkillGroup
SkillGroup,key_18141,key_17837,SkillGroup
SkillGroup,key_17751,key_17838,SkillGroup
SkillGroup,key_17960,key_17839,SkillGroup
SkillGroup,key_17923,key_17840,SkillGroup
SkillGroup,key_17760,key_17841,SkillGroup
SkillGroup,key_18039,key_17842,SkillGroup
SkillGroup,key_17939,key_17843,SkillGroup
SkillGroup,key_18146,key_17844,SkillGroup
SkillGroup,key_18019,key_17845,SkillGroup
SkillGroup,key_17819,key_17846,SkillGroup
SkillGroup,key_17759,key_17847,SkillGroup
SkillGroup,key_18121,key_17848,SkillGroup
SkillGroup,key_17954,key_17849,SkillGroup
SkillGroup,key_18019,key_17850,SkillGroup
SkillGroup,key_17875,key_17851,SkillGroup
SkillGroup,key_18039,key_17852,SkillGroup
SkillGroup,key_17841,key_17853,SkillGroup
SkillGroup,key_17801,key_17854,SkillGroup
SkillGroup,key_18105,key_17855,SkillGroup
