conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5af49836-2269-46d9-87b9-0d3140c6c22e,integrovat a opětovně zpracovávat digitální obsah,released,skill/competence,cross-sector,,"Měnit, zdokonalovat, zpracovávat a začleňovat informace a obsah do stávajícího souboru znalostí s cílem vytvořit nový, původní a relevantní obsah a znalosti.",http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec | http://data.europa.eu/esco/skill/f5369f2f-e52b-43d8-8d31-79a6c11188d8,používat digitální nástroje pro spolupráci a produktivitu | tvorba digitálního obsahu
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5fd5c985-eaaa-47aa-8314-62359c54505a,vytvářet digitální obsah,released,skill/competence,cross-sector,,"Vytvářet a upravovat digitální obsah v různých formátech, vyjadřovat se digitálními prostředky.",http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec | http://data.europa.eu/esco/skill/f5369f2f-e52b-43d8-8d31-79a6c11188d8,používat digitální nástroje pro spolupráci a produktivitu | tvorba digitálního obsahu
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/629685b8-5f9e-4522-8cff-b3e2c4ec625a,zpracování digitálních údajů,released,,,,"Určení, lokalizování, získávání, uchovávání, uspořádání a analyzování digitálních informací a posuzování jejich významu a účelu.",http://data.europa.eu/esco/skill/4d6a48ae-352e-4823-bc3a-3f3e9e2cae86,získávat a analyzovat digitální data
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91,řešení problémů pomocí digitálních nástrojů,released,,,,"Identifikace digitálních potřeb a zdrojů, přijímání informovaných rozhodnutí o nejvhodnějších digitálních nástrojích podle účelu nebo potřeb, řešení koncepčních problémů pomocí digitálních prostředků, kreativní využívání technologií, řešení technických problémů, rozšiřování vlastních kompetencí a kompetencí druhých.",http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,používat digitální nástroje pro spolupráci a produktivitu
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/97c1895a-a890-47da-abfc-79dc272add2e,používat zásady netikety,released,skill/competence,cross-sector,,Uplatňovat behaviorální normy a know-how v rámci používání digitálních technologií a interakcí v digitálním prostředí. Přizpůsobovat komunikační strategie konkrétním adresátům a uvědomovat si kulturní a generační rozmanitost v digitálním prostředí.,http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143,digitální komunikace a spolupráce
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a12057b4-6d11-4a12-ab8e-15a028ef0a6d,interagovat prostřednictvím digitálních technologií,released,skill/competence,cross-sector,,Interagovat prostřednictvím různých digitálních technologií a rozumět vhodným digitálním komunikačním prostředkům pro daný kontext.,http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,digitální komunikace a spolupráce | používat digitální nástroje pro spolupráci a produktivitu
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a91732ce-988e-4105-9570-f425c6ffdc82,autorská práva a licence související s digitálním obsahem,released,knowledge,cross-sector,,"Porozumění tomu, jak se autorské právo a licence vztahují na údaje, informace a digitální obsah.",http://data.europa.eu/esco/isced-f/0211 | http://data.europa.eu/esco/skill/f5369f2f-e52b-43d8-8d31-79a6c11188d8,audiovizuální technika a mediální výroba a produkce | tvorba digitálního obsahu
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bc0b0b5d-f6be-405a-b224-b6902a4dbe97,spravovat digitální identitu,released,skill/competence,cross-sector,,"Vytvořit a spravovat jednu nebo více digitálních identit, být schopen chránit vlastní reputaci, zabývat se daty, která osoba vytváří, prostřednictvím několika digitálních nástrojů, prostředí a služeb.",http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab | http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143,práce s digitálními přístroji a aplikacemi | digitální komunikace a spolupráce
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c4ba12d1-4698-42fa-8abb-789462ea2586,chránit životní prostředí před vlivem digitálních technologií,released,skill/competence,cross-sector,,Znát dopad digitálních technologií na životní prostředí a jejich používání.,http://data.europa.eu/esco/skill/8064ae65-5d1b-44e1-9aaf-246a4285a9a6 | http://data.europa.eu/esco/skill/2aaad52d-599e-4e77-a681-bbc236825821 | http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2,dodržovat právní předpisy a normy v oblasti ochrany životního prostředí | hodnotit dopad osobního chování na životní prostředí | bezpečnost ICT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d1ed5b3a-cab5-4c5d-baf8-0214998b58fb,zajišťovat ochranu zdraví a dobré pracovní podmínky při používání digitálních technologií,released,skill/competence,cross-sector,,Být schopni vyhnout se zdravotním rizikům a hrozbám ohrožujícím tělesnou a duševní pohodu při používání digitálních technologií. Být schopni chránit sebe i ostatní před možnými riziky v digitálním prostředí (např. kybernetickou šikanou). Znát digitální technologie pro sociální blahobyt a sociální začlenění.,http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2 | http://data.europa.eu/esco/skill/5bcec244-3efe-45ac-8891-0ab4a91e9c48,bezpečnost ICT | dodržovat postupy v oblasti bezpečnosti a ochrany zdraví
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/df329d70-87b0-466b-a214-3431f36e2a5e,chránit zařízení IKT,released,skill/competence,cross-sector,,"Chránit zařízení a digitální obsah a chápat rizika a hrozby v digitálním prostředí. Seznámit se s bezpečnostními a ochrannými opatřeními a řádně zohlednit spolehlivost a soukromí. Využívat nástroje a metody, které maximalizují bezpečnost zařízení a informací v oblasti informačních a komunikačních technologií prostřednictvím kontroly přístupu, jako jsou hesla, digitální podpisy, biometrie a ochrany systémů, jako je firewall, antivirový systém, filtry proti spamu.",http://data.europa.eu/esco/skill/185c56ee-098f-46a1-af87-56337085da6f | http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2,chránit zařízení ikt | bezpečnost ICT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e439742d-558d-4f52-885e-afdc740b48cf,"prohlížet si, vyhledávat a filtrovat údaje, informace a digitální obsah",released,skill/competence,cross-sector,,"Formulovat informační potřeby, vyhledávat údaje, informace a obsah v digitálním prostředí, zajišťovat k nim přístup a orientovat se v nich. Vytvářet a aktualizovat osobní strategie pro vyhledávání.",http://data.europa.eu/esco/skill/629685b8-5f9e-4522-8cff-b3e2c4ec625a | http://data.europa.eu/esco/skill/258fea29-09db-4918-8235-0d7d529cd31c,"zpracování digitálních údajů | prohlížet, vyhledávat a filtrovat digitální data"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/f5369f2f-e52b-43d8-8d31-79a6c11188d8,tvorba digitálního obsahu,released,,,,"Vytváření a úprava nového obsahu (od zpracování textu po obrázky a videa); začlenění a přeformulování předchozích znalostí a obsahu; vytváření kreativních výrazů, mediálních výstupů a programů; řešení a uplatňování práv a licencí v oblasti duševního vlastnictví.",http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,používat digitální nástroje pro spolupráci a produktivitu
