ESCOURI,ID,UUIDHISTORY,PREFERREDLABEL,ALTLABELS,DESCRIPTION,ISCOGROUPCODE,CODE
http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,key_620,43ba46df-8315-4b49-82ae-8b432be6c88a,vedoucí techniky,"technická ředitelka
vedoucí technického oddělení
technický ředitel","Vedoucí techniky realizují umělecké vize tvůrců v rámci technických omezení. Koordinují činnost různých částí produkce, jako je scéna, garderoba, osvětlení, zvuk a líčení. Upravují prototyp a zkoumají proveditelnost, realizaci, provoz a technický dohled uměleckého projektu. Jsou také zodpovědní za jevištní zařízení a technické vybavení.",2654.0,2654.1.7
http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,key_621,3aeb3b92-0e7e-4fb2-93de-6c62d1d7541b,obsluha zařízení na zpracování kovů,"technik zařízení na zpracování kovů
obsluha lisů
obsluha zařízení na tažení kovů
technička zařízení na zpracování kovů","Obsluha zařízení na zpracování kovů instaluje a ovládá zařízení na zpracování kovů používaných k výrobě železných a neželezných výrobků, konkrétně k výrobě drátů, tyčí, trubek, dutých profilů a trubek se specifickým tvarem, zmenšuje jejich průřez a protahuje pracovní materiály řadou protahovadel.",8121.0,8121.4
http://data.europa.eu/esco/occupation/0019b951-c699-4191-8208-9822882d150c,key_622,b15ac368-7981-4b88-ab44-1cc3520d5e10,kontrolor přesných zařízení/kontrolorka přesných zařízení,"kontrolorka přesných zařízení
kontrolor přesných zařízení
kontrolor přesných přístrojů
kontrolorka přesných přístrojů","Kontroloři přesných zařízení zajišťují, aby byla přesná zařízení, jako jsou mikrometry a měřicí přístroje, provozována podle konstrukčních specifikací. V případě jakýchkoli závad mohou přesná zařízení a jejich součásti seřídit.",7543.0,7543.10.3
http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,key_623,b26d12b7-07fe-4924-b85c-df4a7c202766,technik bezpečnosti letového provozu/technička bezpečnosti letového provozu,"technik bezpečnosti letového provozu
technička bezpečnosti letového provozu","Technici bezpečnosti letového provozu poskytují technickou podporu, pokud jde o bezpečnost systémů řízení letového provozu a navigačních systémů. Navrhují, udržují, instalují a provozují tyto systémy jak na letišti, tak na palubě letounu podle předpisů.",3155.0,3155.1
http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,key_624,a36b74cd-b5b5-48fa-b2fd-cb79200d5bfa,manažer pro finanční otázky zařízení/manažerka pro finanční otázky zařízení,"manažerka pro finanční otázky zařízení
manažer pro finanční otázky zařízení
manažer pro otázky příjmů
manažerka pro otázky příjmů","Manažeři pro finanční otázky zařízení maximalizují příjem pocházející ze zařízení, jako jsou hotely, rekreační střediska a kempy, prostřednictvím analýzy trendů a hospodářské soutěže. Pomáhají vedoucím pracovníkům při přijímání strategických rozhodnutí. Analyzují a optimalizují finanční potenciál zařízení a spravují odpovídající personál.",2431.0,2431.9
http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c,key_625,f146deaf-5bc1-4abd-9f1c-5da6a393e169,zdravotní laborant/zdravotní laborantka,"zdravotní laborant
zdravotní laborantka","Zdravotní laboranti pracují pod dohledem biomedicínského vědce a provádějí základní laboratorní postupy. Pracují na předanalytickém zpracování vzorků, jako je kontrola vzorků získaných pro analýzu, údržba analyzátorů, zakládání činidel a balení vzorků. Vykonávají rovněž administrativní úkoly, jako je monitorování stavu zásob látek používaných v analýze.",3212.0,3212.2
http://data.europa.eu/esco/occupation/00634fc4-802a-461b-8af0-499273756f99,key_626,14cfcde1-be2f-4ad5-85b6-43cd6a7c69e4,technik silniční laboratoře/technička silniční laboratoře,"technička silniční laboratoře
technik silniční laboratoře",Technici silničních laboratoří provádějí inspekce asfaltu a souvisejících surovin a laboratorní testy k zajištění vysoké kvality produktů. Rovněž se podílejí na přípravě usnesení k technickým otázkám na staveništích.,3116.0,3116.1.1
http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e,key_627,195ba34c-47c0-47b0-b6bc-9fc200a83828,asistent pedagoga na základní škole/asistentka pedagoga na základní škole,"asistentka pedagoga na základní škole
asistent pedagoga na základní škole","Asistenti pedagoga na základní škole poskytují instruktážní a praktickou podporu učitelům základních škol. Posilují výuku u studentů, kteří potřebují zvláštní pozornost, a připravují materiály, které potřebuje učitel ve třídě. Vykonávají rovněž administrativní práci, sledují pokrok a chování studentů při učení a dohlížejí na studenty v přítomnosti i v nepřítomnosti učitelů.",5312.0,5312.2
http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,key_628,350638f8-c006-445d-98b9-676dead93f90,fyzioterapeut/fyzioterapeutka,"sportovní fyzioterapeutka
fyzioterapeutka
sportovní fyzioterapeut
pohybová terapeutka
pohybový terapeut
fyzioterapeut","Fyzioterapeuti jsou nezávislí zdravotničtí pracovníci, kteří jsou odpovědní za vývoj, údržbu nebo obnovu motorických funkcí a pohybu po celou dobu života pomocí fakticky podložené praxe. Zmírňují bolest, léčí fyzické stavy spojené se zraněním, nemocí nebo jiným omezením nebo provádějí prevenci. Fyzioterapeuti posilují pacienty a osoby, které je ošetřují, aby zvládli onemocnění mimo zdravotnické zařízení. Pracují v rámci své praxe a svého profesního kodexu chování. ",2264.0,2264.2
http://data.europa.eu/esco/occupation/00747307-6341-4266-a061-25416f7c6a96,key_629,16652144-cf2f-4a13-a93d-25ff34c04cfe,učitel divadelního herectví/učitelka divadelního herectví,"učitelka na herecké konzervatoři
učitel divadelního herectví
profesor na herecké konzervatoři
profesorka na herecké konzervatoři
učitel na herecké konzervatoři
učitelka na herecké fakultě
učitelka divadelního herectví
učitel na herecké fakultě","Učitelé divadelního herectví vzdělávají studenty ve specifické teorii, a především v praktických divadelních kurzech ve specializovaném divadle, na herecké škole nebo na konzervatoři na vysokoškolské úrovni. Poskytují teoretickou výuku, pokud jde o praktické dovednosti a techniky, které studenti musí následně ovládat v divadle. Učitelé divadelního herectví sledují pokrok studentů, v případě potřeby jim individuálně pomáhají a hodnotí jejich znalosti a herecký výkon prostřednictvím úkolů, testů a zkoušek.",2310.0,2310.1.30
http://data.europa.eu/esco/occupation/0085f271-5999-4d42-b879-75c3b4269883,key_630,9de8b0d0-070f-422e-8cb9-2c3f7f6aed50,operátor hydrogenačního stroje/operátorka hydrogenačního stroje,"operátor hydrogenačního stroje
obsluha hydrogenačního stroje
operátorka hydrogenačního stroje","Operátoři hydrogenačního stroje řídí zařízení, které zpracovává základové oleje pro výrobu margarínu a tuků na pečení.",8160.0,8160.39
http://data.europa.eu/esco/occupation/0090dd54-057a-4f65-bbe8-f74c4999e8e8,key_631,23c178be-8616-4eee-9f83-5a7aa83c2466,operátor výroby těstovin/operátorka výroby těstovin,"pracovnice výroby těstovin
pracovník výroby těstovin
obsluha stroje na výrobu těstovin
operátor stroje na výrobu těstovin
operátorka stroje na výrobu těstovin
operátoři strojů na výrobu těstovin","Operátoři výroby těstovin vyrábí produkty ze sušených těstovin. Vykládají suroviny ze skladovacích sil a systémů pro doručování surovin. Operátoři suroviny míchají, stlačují a tvarují tak, aby dosáhly požadované úrovně sušení těstovin.",8160.0,8160.46
http://data.europa.eu/esco/occupation/00913533-5237-4870-9003-d1cb806603c9,key_632,f247944a-bd7c-40b6-b0cf-fdb5721237fb,vedoucí prodejny tabákových výrobků,vedoucí trafiky,Vedoucí prodejen tabákových výrobků jsou zodpovědní za činnost specializovaných obchodů a jejich zaměstnance.,1420.0,1420.4.42
http://data.europa.eu/esco/occupation/009d29de-5872-43be-8d9b-abd27f8c99f1,key_633,ee6d4e08-318c-410e-895e-ae40541078bf,"pracovník půjčovny ostatních strojů, zařízení a výrobků/pracovnice půjčovny ostatních strojů, zařízení a výrobků","pracovnice půjčovny ostatních strojů, zařízení a výrobků
pracovník půjčovny ostatních strojů, zařízení a výrobků
vedoucí půjčovny ostatních strojů, zařízení a výrobků","Pracovníci půjčovny ostatních strojů, zařízení a výrobků jsou odpovědní za pronájem vybavení a určení konkrétní doby používání. Dokumentují transakce, pojištění a platby.",5249.0,5249.2.1
http://data.europa.eu/esco/occupation/00ab29a3-6d4a-4df9-b46d-de31069e36e8,key_634,cf5741fb-71cb-40d1-a9ee-74924303bf80,důlní měřič/důlní měřička,"důlní měřička
důlní měřič",Důlní měřiči připravují a udržují těžební plány v souladu s požadavky právních předpisů a managementu. Vedou záznamy o fyzickém pokroku těžební činnosti a těžby rud nebo nerostných surovin.,2165.0,2165.4.2
http://data.europa.eu/esco/occupation/00ab5610-e715-428f-99f6-b1e5e469dbcd,key_635,e7172180-0d86-4f16-86fc-2f171a49d4df,odborník na bezpečnost potravin/odbornice na bezpečnost potravin,"odbornice na bezpečnost potravin
kontrolor kvality potravin
odborník na bezpečnost potravin
kontrolorka kvality potravin","Odborníci na bezpečnost potravin organizují a provádějí postupy, aby se zabránilo problémům s bezpečností potravin. Dodržují předpisy.",2263.0,2263.2
http://data.europa.eu/esco/occupation/00c8d1cf-24f2-47d1-9f10-765e1c102811,key_636,094ba956-36ec-4026-b894-aa5e6477278d,opravář zemědělských strojů/opravářka zemědělských strojů,"opravářka zemědělských strojů a zařízení
opravář zemědělských strojů a zařízení
opravářka zemědělských strojů
opravář zemědělských strojů
opravář zemědělské techniky
opravářka zemědělské techniky",Opraváři zemědělských strojů provádějí údržbu a generální a běžné opravy zemědělských zařízení a strojů.,7233.0,7233.8
http://data.europa.eu/esco/occupation/00cee175-1376-43fb-9f02-ba3d7a910a58,key_637,1c4452c0-6fa8-4e5c-904e-e25ba79462a0,řidič autobusu/řidička autobusu,"řidička autobusu
řidič zájezdového autobusu
řidička turistického autobusu
řidič linkového autobusu
řidič školního autobusu
řidička školního autobusu
řidič turistického autobusu
řidička linkového autobusu
řidič autobusu v městské hromadné dopravě
řidička autobusu v městské hromadné dopravě
řidič autobusu
řidička zájezdového autobusu
řidič autokaru
řidička autokaru","Řidiči autobusů řídí autobusy nebo autokary, vybírají jízdné a starají se o cestující.",8331.0,8331.1
http://data.europa.eu/esco/occupation/00fdad73-4551-4e43-b256-1d4a3759db1e,key_638,be2ada91-c133-4c31-b286-487ac2eb4a23,manažer pro dovoz a vývoz masa a masných výrobků/manažerka pro dovoz a vývoz masa a masných výrobků,"manažer pro dovoz a vývoz masa a masných výrobků
manažerka pro dovoz a vývoz masa a masných výrobků",Manažeři pro dovoz a vývoz masa a masných výrobků zavádějí a udržují postupy pro přeshraniční obchod a koordinují vnitřní a vnější strany.,1324.0,1324.3.2.22
http://data.europa.eu/esco/occupation/01205776-db8d-4588-a6a6-56d0b9c660a9,key_639,64abccac-219c-4beb-88a2-323d1590e732,referent odboru politiky bydlení/referentka odboru politiky bydlení,"referentka odboru politiky bydlení
referent odboru politiky bydlení","Referenti odboru politiky bydlení provádějí výzkum, analyzují a rozvíjejí politiky bydlení, které umožňují cenově dostupné a přiměřené bydlení pro všechny. Implementují tyto politiky s cílem zlepšit bytovou situaci obyvatelstva pomocí opatření, jako je budování cenově dostupného bydlení, podpora nákupu nemovitostí a zlepšování podmínek ve stávajícím bydlení. Pracovníci odpovědní za bytovou politiku úzce spolupracují s partnery, externími organizacemi či jinými zúčastněnými stranami a pravidelně jim poskytují aktuální informace.",2422.0,2422.12.8
http://data.europa.eu/esco/occupation/01484951-15e6-4b88-a20f-1201868d36a0,key_640,2efe3351-3447-4be0-8500-42c1328c0e28,vrchní šéfkuchař/vrchní šéfkuchařka,"výkonný šéfkuchař
manažerka kuchyně
výkonná šéfkuchařka
hlavní kuchař
hlavní kuchařka
vrchní šéfkuchař
vrchní šéfkuchařka
manažer kuchyně","Vrchní šéfkuchaři řídí chod kuchyně a dohlíží na přípravu, vaření a podávání pokrmů.",3434.0,3434.1.1
http://data.europa.eu/esco/occupation/0152b59d-5005-470c-9273-ef321477d8dc,key_641,375fbdd1-26da-459f-af19-5f3818454ad5,obsluha strojů na zpracování netkaných vláken,,Obsluha strojů na zpracování netkaných vláken provádí chemické zpracování netkaných vláken.,8131.0,8131.15
http://data.europa.eu/esco/occupation/01649ae9-22ee-4dba-83a8-3a2c51fbbe95,key_642,dd8325c7-f5cb-48c0-88d9-ac9a169795e1,ředitel instituce vysokoškolského vzdělávání/ředitelka instituce vysokoškolského vzdělávání,"ředitelka instituce vysokoškolského vzdělávání
ředitel instituce vysokoškolského vzdělávání","Ředitelé institucí vysokoškolského vzdělávání řídí každodenní činnost vysokoškolské instituce, jako je např. vysoká škola nebo odborná škola. Ředitelé institucí vysokoškolského vzdělávání přijímají rozhodnutí týkající se přijetí studentů a odpovídají za dodržování standardů pro učební osnovy, což usnadňuje akademický rozvoj studentů. Řídí zaměstnance, rozpočet školy, univerzitní programy a dohlížejí na komunikaci mezi katedrami. Rovněž zajišťují, aby instituce splňovala vnitrostátní zákonné požadavky na vzdělávání.",1345.0,1345.1.5
http://data.europa.eu/esco/occupation/0181835d-dd00-49e2-9fc4-e1382a65957f,key_643,11b398e8-ef9a-46b8-9ba1-a9c70ebea1a6,vedoucí montáže izolačních materiálů,vedoucí montér izolací,Vedoucí montáže izolačních materiálů dohlížejí na izolační operace. Zadávají úkoly a přijímají rychlá rozhodnutí k řešení problémů.,3123.0,3123.1.13
http://data.europa.eu/esco/occupation/01989dd8-36c0-43cc-a82d-2bfc409de9c4,key_644,90748e17-ad4f-4fd6-ba7f-43247b63a408,inženýr demontáže/inženýrka demontáže,"inženýr demontáže
inženýrka demontáže","Inženýři demontáže zkoumají a plánují optimálním způsobem demontáže průmyslových zařízení, strojů a budov, které se dostaly do závěrečné fáze životnosti. Analyzují požadovanou práci a určují harmonogram jednotlivých prací. Instruují vedoucí týmů a dohlížejí na jejich práci.",2149.0,2149.8
http://data.europa.eu/esco/occupation/01a83071-6533-4675-b2da-f0c6d02669f5,key_645,34e69e64-ad67-4f2a-9875-3923e7c16357,likvidátor pojistných událostí/likvidátorka pojistných událostí,"posuzovatel pojistných událostí
posuzovatelka pojistných událostí
likvidátor pojistných událostí
likvidátorka pojistných událostí","Likvidátoři pojistných událostí zajišťují, aby veškerá pojistná plnění byla přesně vyřizována a aby byla zajištěna úhrada platných pojistných plnění pojistníkům. Používají statistické údaje a podávají zprávy pro výpočet a úpravu pohledávek podle potřeby, komunikují s pojistníky a sledují vývoj nároku.",3315.0,3315.3
http://data.europa.eu/esco/occupation/01bcac9f-7881-4664-bd63-dea700e3b117,key_646,6612db75-4653-4cd2-8f8e-0ae973bf099c,vedoucí vývoje oděvních návrhů,manažer vývoje oděvů,"Vedoucí vývoje oděvních návrhů definují koncepce výrobků, které jsou v souladu s cíli spotřebitele a celkovou marketingovou strategií. Jsou informováni o vědeckých zjištěních a specifikacích. Vedou brífinky a zavádí všechny příslušné sezonní a strategické koncepce, včetně jejich distribuce podle kanálu, výrobku, novinek v oblasti barev a prodávaných kolekcí. Zajišťují realizaci a plnění rozpočtu. Řídí a realizují řadu výrobků a životní cyklus kategorie od stanovení koncepce přes prodej a distribuci, podílení se na výzkumu trhu až po trendy v tomto odvětví za účelem ovlivnění koncepce a výrobků dané kategorie.",1223.0,1223.2.1.1
http://data.europa.eu/esco/occupation/01da600c-ddb3-4a37-95e9-5301b459ae90,key_647,46d834c6-dbd6-410c-a1f4-982db70851d2,obsluha separátoru nitroglycerinu,"separátor nitroglycerinu
separátorka nitroglycerinu
obsluha gravitačního separátoru nitroglycerinu","Obsluha separátoru nitroglycerinu provádí údržbu gravitačního odlučovače, který se používá při zpracování výbušnin, řídí teplotu a průtok kapaliny, aby se nitroglycerin oddělil od použitých kyselin.",8131.0,8131.14
http://data.europa.eu/esco/occupation/01ffb917-98dc-48c1-91ad-93c4104e791d,key_648,f37b11b6-4d16-4e9b-b94f-385ac5684c73,biomedicínský inženýr/biomedicínská inženýrka,"biomedicínská inženýrka
biomedicínský inženýr","Biomedicínští inženýři využívají znalosti o technických zásadách a biologických zjištěních k rozvoji lékařské péče, léků a pro obecné zdravotnické účely. Mohou vyvíjet řešení, která sahají od zlepšení složek běžných léků až po vývoj implantátů a ošetření tkání.",2149.0,2149.5.1
http://data.europa.eu/esco/occupation/021663ca-a367-472e-a1f0-6d8ab5b2d860,key_649,de098078-a32d-4fb3-9f59-540929f76d0a,zákonný opatrovník/zákonná opatrovnice,"zákonná opatrovnice
zákonný opatrovník
náhradní rodič","Zákonní opatrovníci poskytují právní asistenci a podporu nezletilým dětem, duševně postiženým osobám nebo nezpůsobilým starším dospělým osobám v soukromém životě. Mohou svěřené osobě spravovat majetek, pomáhat jí s každodenní správou finančních záležitostí a v záležitostech zdravotních nebo sociálních potřeb.",3412.0,3412.2
http://data.europa.eu/esco/occupation/02375132-3290-4221-bf55-d93ec61a3bf3,key_650,26d1293b-79a2-4042-a40f-9ca6b04e96e6,tkadlec/tkadlena,"tkadlec
tkadlena","Tkalci tkají na tradičních ručně poháněných tkalcovských stavech (od hedvábí po koberce, od plochého tkaní po žakár). Provádějí mechanické práce na strojích, které zpracovávají přízi na tkaniny, jako jsou přikrývky, koberce, ručníky a oděvní materiál. Opravují poruchy tkalcovského stavu nahlášené tkalci a vyplňují kontrolní listy tkalcovského stavu.
	",7318.0,7318.6
http://data.europa.eu/esco/occupation/02447817-ea01-4d8b-b09c-8bc128e447e6,key_651,dead3fd4-b010-457b-b8f8-faa9e3dab0aa,obkladač,,"Obkladači instalují dlaždice na stěny a podlahy. Seříznou dlaždice na správnou velikost a tvar, připravují povrch a umístí dlaždice tak, aby byly zarovnané a v rovině. Obkladači mohou rovněž převzít tvůrčí a umělecké projekty, například kladení mozaik.",7122.0,7122.4
http://data.europa.eu/esco/occupation/0249b723-1d20-4ff9-8623-d20b98d0b4a4,key_652,aef65c92-9279-4bb9-ac92-d7a5c98ad628,vedoucí prodejny obuvi a kožené galanterie,vedoucí obuvi a kožené galanterie,Vedoucí prodejen obuvi a kožené galanterie jsou zodpovědní za činnost specializovaných obchodů a jejich zaměstnance.,1420.0,1420.4.38
http://data.europa.eu/esco/occupation/02609ece-cea3-43fa-bf38-b6fb821f28b2,key_653,f17c2cbc-119f-436b-8f3b-e00ec5d9e18c,manažer cestovní kanceláře/manažerka cestovní kanceláře,"ředitel cestovní kanceláře
manažerka cestovní kanceláře
ředitelka cestovní kanceláře
manažer cestovní kanceláře",Manažeři cestovní kanceláře jsou pověřeni vedením zaměstnanců a činností cestovní kanceláře v souvislosti s pořádáním turistických zájezdů a dalších služeb v oblasti cestovního ruchu.,1439.0,1439.7
http://data.europa.eu/esco/occupation/026401a9-7d56-4d7b-8052-38985ddbeafa,key_654,46f2cbf2-5891-44c9-851e-ea7be06fe9da,chovatel včel/chovatelka včel,"včelař
specialista na chov včel
specialistka na chov včel
chovatelka včel
chovatel včel
včelařka",Chovatelé včel dohlížejí na produkci včel a každodenní péči o včely. Starají se o zdraví a dobré životní podmínky včel.,6123.0,6123.1
http://data.europa.eu/esco/occupation/0264b794-3771-47aa-a675-78bf13b62ee7,key_655,139bdb6a-c7ba-43cd-a16f-f9df8128ddb3,asistent v právní administrativě/asistentka v právní administrativě,"asistent v právní administrativě
asistentka v právní administrativě","Asistenti v právní administrativě vykonávají každodenní administrativní činnost pro firmy, veřejné kanceláře a podniky. Vykonávají činnosti, jako je pořizování zápisu, psaní mailů a odpovídání na telefonní hovory. Při těchto činnostech využívají specifické znalosti postupů a předpisů v obchodní právní administrativě.",3342.0,3342.2
http://data.europa.eu/esco/occupation/026a5233-cad9-4b1d-8852-22c2685ab34e,key_656,434c25b8-aacb-4c09-9b1b-eb69f6be80f1,operátor čerpadla pro těžbu ropy/operátorka čerpadla pro těžbu ropy,"operátorka čerpadla pro těžbu ropy
operátor  čerpadla pro těžbu ropy","Operátoři čerpadel pro těžbu ropy se starají o čerpadla a udržují bezporuchový oběh ropy a ropných derivátů. Monitorují průtok v potrubí v rafinérii a zkouší zařízení tak, aby bylo zajištěno co možná nejmenší narušení. Operátoři čerpadel pracují ve vysoce automatizované řídicí místnosti, kde komunikují s ostatními pracovníky za účelem koordinace činností čerpadla. Operátoři čerpadel provádějí menší opravy a údržbu a podávají zprávy.",3134.0,3134.4
http://data.europa.eu/esco/occupation/029a5b78-4d1c-4cf9-a2d2-bb8d8729b8a3,key_657,ee977fc5-a2b5-49cc-af74-2a68f5151566,výrobce ochranných oděvů/výrobkyně ochranných oděvů,"výrobkyně ochranných prostředků
výrobce ochranných prostředků
výrobkyně ochranných oděvů
výrobce osobních ochranných oděvů
výrobce ochranných oděvů
dělnice výroby ochranných oděvů
výrobkyně osobních ochranných oděvů
dělník výroby ochranných oděvů","Výrobci ochranných oděvů vyrábí osobní ochranné prostředky vyrobené z textilu. Vyrábějí oděvy odolávající různým typům poškození (jako je tepelné, fyzické, elektrické, biologické či chemické poškození atd.), vysoce viditelné teplé oděvy, oděvy chránící před větrem, chladem, deštěm, ultrafialovým zářením atd. Sledují normy a posuzují plnění požadavků.",8153.0,8153.1.5
http://data.europa.eu/esco/occupation/02b5b7b0-b856-4ac7-924c-8c35c7880b2a,key_658,50b41744-2a85-4df3-8def-b7d6bd644477,obsluha zařízení pro nanášení ochranných či dekorativních povlaků na kovové výrobky,"obsluha lakovacích zařízení
obsluha zařízení na pokovování","Obsluha zařízení pro nanášení ochranných či dekorativních povlaků na kovové výrobky instaluje a obsluhuje stroje na nanášení povlaků, které nanášejí na kovové výrobky tenkou vrstvou povlaku z materiálů, jako je lak, smalt, měď, nikl, zinek, kadmium, chrom nebo jiný kov, za účelem ochrany nebo zdobení povrchu kovových výrobků. Používá všechny stanoviště zařízení pro nanášení za účelem provedení více nátěrů.",8122.0,8122.3
http://data.europa.eu/esco/occupation/02bd7cac-8263-4425-b03d-19001ffe8787,key_659,157de0c0-0c42-49fe-b17a-3f3424399f84,vedoucí líhňař v odvětví akvakultury/vedoucí líhňařka v odvětví akvakultury,"vedoucí líhňařka v odvětví akvakultury
vedoucí líhňař v odvětví akvakultury","Vedoucí líhňaři v odvětví akvakultury plánují, řídí a koordinují produkci v rámci rozsáhlých operací v oblasti akvakultury s cílem rozmnožovat ryby a měkkýše a rozvíjet akvakulturní strategie, které využívají různé druhy reprodukčních technik. Kontrolují reprodukci chovaných druhů a počáteční fáze jejich životního cyklu. Dohlížejí na techniky inkubace, metody krmení a chovu v rané fázi chovaných druhů.",6221.0,6221.3
http://data.europa.eu/esco/occupation/02d4f153-8e43-444d-8bd4-8171d49eab12,key_660,dc0418fa-09de-4518-a249-abf9a8e95cf2,mechanik převodových ústrojí/mechanička převodových ústrojí,"mechanička převodových ústrojí
mechanik převodových ústrojí",Mechanici převodových ústrojí vyrábějí přesné díly pro převodová zařízení a další hnací prvky. Používají různé obráběcí stroje.,7223.0,7223.8
http://data.europa.eu/esco/occupation/02e19186-458f-40eb-9e78-31c656d12ac7,key_661,2aae8127-4e53-40b0-976a-2c949b624d97,manažer recepce a správy hotelu/manažerka recepce a správy hotelu,"hlavní recepční
manažerka pro rezervace pokojů
manažerka recepce a správy hotelu
manažerka recepce
manažer recepce a správy hotelu
manažer recepce
manažer pro rezervace pokojů","Manažeři recepce a správy hotelu jsou odpovědní za řízení a koordinaci týmu zaměstnanců recepce a oddělení rezervací, úklidu a údržby.",1411.0,1411.3
http://data.europa.eu/esco/occupation/02e94cd6-8e6d-4e9b-b695-edb460c70528,key_662,9a4d9124-5f07-4cec-aeee-5739dc311bf4,dekoratér keramiky/dekoratérka keramiky,"dekoratér keramiky
dekoratérka keramiky","Dekoratéři keramiky navrhují a umělecky ztvárňují keramické povrchy a předměty, jako jsou tašky, sochy, stolní nádobí a keramiku. Při výrobě dekorativních maleb používají různé techniky, a to od použití šablony až po kresbu volnou rukou.",7316.0,7316.1.1
http://data.europa.eu/esco/occupation/02eb0ae6-ecdd-4602-9c8e-60ffe6dbe1e2,key_663,07dca4d4-2c14-41ee-b8ea-c10b6f5a3ac4,telekomunikační inženýr/telekomunikační inženýrka,"designér telekomunikačních řešení
telekomunikační inženýr
designérka telekomunikačních řešení
telekomunikační inženýrka
telekomunikační designér
designérka telekomunikačních systémů
telekomunikační designérka
designér telekomunikačních systémů","Telekomunikační inženýři navrhují, konstruují, zkoušejí a udržují telekomunikační systémy a sítě, včetně rádiových a vysílacích zařízení. Analyzují potřeby a požadavky zákazníků, zajišťují, aby zařízení splňovalo předpisy, a připravují a předkládají zprávy a návrhy týkající se problémů spojených s telekomunikacemi. Telekomunikační inženýři navrhují poskytování služeb ve všech fázích projektu a dohlížejí na něj, mají dohled nad instalací a používáním telekomunikačního vybavení a zařízení, připravují dokumentaci a poskytují školení pro zaměstnance společnosti po instalaci nového zařízení.",2153.0,2153.1
http://data.europa.eu/esco/occupation/02f1ae71-f89c-47b7-af2c-50d7ab1d9b8a,key_664,4f78403e-4457-4ee9-bd42-54f80c648c3a,učitel gramotnosti dospělých/učitelka gramotnosti dospělých,"učitelka gramotnosti dospělých
učitel gramotnosti dospělých","Učitelé gramotnosti dospělých vyučují dospělé studenty, včetně přistěhovalců z nedávné doby a osob, které předčasně ukončily školní docházku, základním čtenářským a písemným dovednostem, obvykle na úrovni základních škol. Učitelé gramotnosti dospělých zapojují studenty do plánování a provádění činností čtení a prostřednictvím úkolů a zkoušek je individuálně posuzují a hodnotí.",2352.0,2352.1.1
http://data.europa.eu/esco/occupation/02f26b2f-879c-4811-8381-65e8dd3f4a16,key_665,d40b6b4a-7f81-4a39-8fa2-88c22cfe208e,manažer kvality obuvi/manažerka kvality obuvi,"manažer kvality obuvi
manažer jakosti obuvi
manažerka jakosti obuvi
manažerka kvality obuvi","Manažeři kvality obuvi provádějí, spravují a prosazují systémy kvality ve společnosti za použití vhodných nástrojů a metodik založených na vnitrostátních nebo mezinárodních normách nebo normách společnosti. Odpovídají za stanovení požadavků a cílů, jakož i za přípravu dokumentů. Analyzují stížnosti a prosazují a koordinují nápravná a preventivní opatření. Podporují účinnou vnitřní a vnější komunikaci a zajišťují splnění požadavků spotřebitelů. Jsou odpovědní za vymezení nástrojů, které monitorují a kontrolují systémy kvality, konkrétně za interní nebo externí audit, a podílejí se na interním auditu.",1321.0,1321.2.2.1
http://data.europa.eu/esco/occupation/02ff199e-38b3-45fd-b659-68846cfeeb92,key_666,4468024e-f4af-46c8-962d-7a1d28334f0a,montér protipožárních systémů/montérka protipožárních systémů,"montér protipožárních systémů
montérka protipožárních systémů","Montéři požárních systémů jsou odpovědní za instalaci systémů požární ochrany, které rozprašují vodu. Spojují trubky, potrubí a nezbytné doplňky. Montéři protipožárních systémů rovněž testují systémy na netěsnosti.",7126.0,7126.12
http://data.europa.eu/esco/occupation/032d4115-03ec-49c9-853d-678f8a41969b,key_667,929d556a-6e81-4cbe-b842-e4a41540527b,manažer distribuce elektronického a telekomunikačního zařízení a jeho dílů/manažerka distribuce elektronického a telekomunikačního zařízení a jeho dílů,"manažerka distribuce elektronického a telekomunikačního zařízení a jeho dílů
manažer distribuce elektronického a telekomunikačního zařízení a jeho dílů",Manažeři distribuce elektronického a telekomunikačního zařízení a jeho dílů plánují distribuci elektronických a telekomunikačních zařízení a jejich dílů na různá prodejní místa.,1324.0,1324.3.1.6.11
