ESCOURI,ID,UUIDHISTORY,PREFERREDLABEL,ALTLABELS,DESCRIPTION,ISCOGROUPCODE,CODE
http://data.europa.eu/esco/occupation/a10222e7-1940-4ca3-86c1-99b115535969,key_2565,4a755024-380e-48ab-9e47-9ac441ab2e2d,prodavač v prodejně audio-video/prodavačka v prodejně audio-video,"prodavač audio- a videozařízení
prodavač v prodejně multimediálních zařízení
prodavačka audio- a videozařízení
prodavač audio, video
prodavač v prodejně audio-video
prodavačka audio, video
prodavačka v prodejně audio-video
prodavačka v prodejně multimediálních zařízení","Prodavači v prodejně audio-video prodávají audio a video zařízení, jako jsou rádiové a televizní přijímače, přehrávače CD, DVD atd., a nahrávací zařízení ve specializovaných prodejnách.",5223.0,5223.7.2
http://data.europa.eu/esco/occupation/a10849c1-f0d8-4600-bca6-9549c2517650,key_2566,83f5d276-730c-4c71-b8bf-eb35b10e755b,učitel tělesné výchovy na střední škole/učitelka tělesné výchovy na střední škole,"středoškolský učitel tělocviku
středoškolská učitelka tělesné výchovy
učitelka tělesné výchovy na střední škole
středoškolský učitel tělesné výchovy
učitel tělocviku
učitel tělesné výchovy
učitelka tělesné výchovy
středoškolský profesor tělesné výchovy
středoškolská profesorka tělesné výchovy
učitelka tělocviku
učitel tělesné výchovy na střední škole
středoškolská učitelka tělocviku","Učitelé tělesné výchovy na střední škole poskytují vzdělání studentům, obvykle dětem a mladým dospělým na středních školách. Obvykle se jedná o odborné učitele, kteří se specializují ve svém oboru, tělesné výchově, a vyučují jej. Připravují učební plány a materiály, sledují pokrok studentů, v případě potřeby jim individuálně pomáhají a hodnotí jejich znalosti a výsledky v předmětu tělesná výchova prostřednictvím praktických, obvykle fyzických, testů a zkoušek.",2330.0,2330.1.15
http://data.europa.eu/esco/occupation/a10eb17a-3c78-4f7a-a1da-8f31146339d3,key_2567,f2b8bee3-e7d2-4990-bb19-5bf94a76f7cd,zahradnický dělník/zahradnická dělnice,"zahradnický dělník
zahradnická dělnice","Zahradničtí dělníci vykonávají jednoduché úkoly v oblasti pěstování a udržování květin, stromů a keřů. Tato činnost může probíhat buď v parcích, nebo v soukromých zahradách.",9214.0,9214.1
http://data.europa.eu/esco/occupation/a1273779-d2d4-4708-a406-62f7cdd26aab,key_2568,27d7e602-3a82-4906-a062-2dfcef783042,"specialista bezpečnosti práce, pracovního prostředí a pracovních podmínek/specialistka bezpečnosti práce, pracovního prostředí a pracovních podmínek","specialistka bezpečnosti práce, pracovního prostředí a pracovních podmínek
specialista bezpečnosti práce, pracovního prostředí a pracovních podmínek","Specialisté bezpečnosti práce, pracovního prostředí a pracovních podmínek navrhují předměty a programy tak, že uplatňují technické zásady a požadavky na ochranu zdraví a bezpečnosti. Představují ochranu a zajištění dobrých podmínek pro lidi, kteří používají navržené předměty, nebo vykonávají práci v rámci programů v oblasti BOZP. Hodnotí zařízení a rizika, která mohou tato zařízení představovat (např. kontaminující materiály, ergonomie, manipulace s nebezpečnými látkami atd.) s cílem navrhnout a zlepšit opatření v oblasti BOZP.",2149.0,2149.10
http://data.europa.eu/esco/occupation/a142a645-6e9e-4d86-accd-9816df857c90,key_2569,e6958f65-3351-45ce-afb4-27a963cf0bef,návrhář koženého zboží/návrhářka koženého zboží,"návrhářka koženého zboží
návrhář koženého zboží","Návrháři koženého zboží odpovídají za tvůrčí proces koženého zboží. Provádějí analýzu módních trendů, účastní se průzkumu trhu a předpovídají potřeby, plánují a rozvíjejí kolekce, vytvářejí koncepce a vytvářejí kolekce. Kromě toho provádějí odběr vzorků, vytvářejí prototypy nebo vzory k prezentaci a podporují koncepce a kolekce. V rámci vyvíjení kolekcí definují způsoby výroby a koncepční tabulky, barevné škály a materiály a vypracovávají výkresy a náčrty. Návrháři koženého zboží identifikují škálu materiálů a dílů a definují specifikace návrhu. Spolupracují s technickým týmem.",2163.0,2163.1.3.3
http://data.europa.eu/esco/occupation/a14e96a7-6c4d-4d69-8c6f-7ccadf77bac5,key_2570,07c85fe7-63f6-469a-bc48-0cb5b7dd36b2,firemní manažer školení zaměstnanců/firemní manažerka školení zaměstnanců,"firemní manažer školení zaměstnanců
manažer firemního vzdělávání
manažerka vzdělávání
manažer vzdělávání
manažerka firemního vzdělávání
manažer školení
firemní manažerka školení zaměstnanců
manažerka školení",Firemní manažeři školení zaměstnanců koordinují veškeré činnosti v oblasti odborné přípravy a rozvojové programy ve společnosti. Rovněž navrhují a rozvíjejí nové školicí moduly a dohlížejí na veškeré činnosti související s plánováním a prováděním těchto programů.,2424.0,2424.3
http://data.europa.eu/esco/occupation/a198de8c-24b1-4002-982f-a57ae6d6c19c,key_2571,4fb4e475-0dab-4802-9412-5dc8704ee8f1,pojišťovací makléř/pojišťovací makléřka,"pojišťovací makléř
pojišťovací makléřka
pojišťovací poradce
pojišťovací agentka
pojišťovací zprostředkovatel
pojišťovací agent
pojišťovací poradkyně
pojišťovací zprostředkovatelka","Pojišťovací makléři propagují, prodávají a poskytují poradenství o různých pojistných smlouvách, jako je životní pojištění, zdravotní pojištění, úrazové pojištění a pojištění proti požáru, pro jednotlivce i organizace. Pracují rovněž jako zprostředkovatelé mezi jednotlivci nebo organizacemi a pojišťovnami a vyjednávají nejlepší pojistné smlouvy pro své klienty a v případě potřeby sjednávají pojištění. Pojišťovací makléři spolupracují s novými potenciálními klienty, poskytují jim návrhy pojistek dle jejich potřeb, pomáhají jim při podepisování nových pojistných smluv a navrhují specifická řešení jejich specifických problémů.",3321.0,3321.1
http://data.europa.eu/esco/occupation/a1acd539-c359-4af3-8a4a-07f1b611e368,key_2572,d872e9e2-5f87-4bf9-9116-faedd9e81ebc,chytač/chytačka,"pracovnice provádějící odchyt drůbeže
pracovník provádějící odchyt drůbeže
chytač drůbeže
chytačka drůbeže","Chytači jsou odborníci, kteří pracují v drůbežárnách a odchytávají drůbež.",9212.0,9212.1
http://data.europa.eu/esco/occupation/a1b32703-a2e5-4e0a-910f-7cdd0293b52d,key_2573,8730f1bf-224a-4dca-8094-04fab5e9093a,specializovaný outdoor animátor/specializovaná outdoor animátorka,"osobní instruktor
outdoor animátor se specializací
osobní instruktorka
outdoor animátorka se specializací","Mohou také pomáhat jednomu nebo více asistentům outdoor animátorů a podílet se na administrativě, kancelářských a administrativních úkolech „front office“ a úkolech souvisejících s údržbou zázemí pro aktivity a jeho vybavením.
	",3423.0,3423.1.2.3
http://data.europa.eu/esco/occupation/a1b4eb5e-45d4-441b-a7e8-795ac5cf6fbf,key_2574,f59f6a80-08a1-4bb0-a775-b2004e74cf28,výrobce značení/výrobkyně značení,"výrobce značení
výrobkyně značení","Výrobci značení navrhují a vyvíjejí značení pro různé způsoby použití, jako jsou letáky, dopravní značení, billboardy a loga. Používají různé materiály a techniky a v případě potřeby instalují značení na místě. Kromě toho provádějí údržbu a opravy.",7316.0,7316.4
http://data.europa.eu/esco/occupation/a1b86a8b-ad91-4192-b386-bbf89bb11699,key_2575,58307721-eb3b-4b71-ba9b-06fbc76a35b8,pracovník přijímající hosty restaurace/pracovnice přijímající hosty restaurace,"pracovník přijímající hosty restaurace
hosteska v restauraci
hosteska
pracovník vítající hosty v restauraci
pracovnice vítající hosty v restauraci
pracovnice přijímající hosty restaurace",Pracovníci přijímající hosty restaurace vítají zákazníky v pohostinství a poskytují počáteční služby.,5131.0,5131.1
http://data.europa.eu/esco/occupation/a1ba7574-cc28-446c-9741-12d7fbb325cb,key_2576,81bcef63-8787-4ac0-9645-c567f6942239,referent trhu práce/referentka trhu práce,"referent trhu práce
referentka trhu práce","Referenti trhu práce provádějí výzkum, analyzují a rozvíjejí politiky na trhu práce. Implementují široké spektrum politik od finanční až po praktickou oblast, jako je zlepšení mechanismů hledání pracovních míst, podpora odborné přípravy, poskytování pobídek pro začínající podniky a podporu příjmů. Referenti trhu práce úzce spolupracují s partnery, externími organizacemi či jinými zúčastněnými stranami a pravidelně jim poskytují aktuální informace.",2422.0,2422.12.10
http://data.europa.eu/esco/occupation/a1c9f8b7-c4ce-4b15-ac3c-3378c300d8f2,key_2577,bc86b1bc-5ca0-4f77-8b83-00181d9a1dbc,frézař/frézařka,"pracovník obsluhující frézu
pracovník obsluhující frézovací stroj
pracovnice obsluhující frézovací stroj
frézařka
obsluha frézy
obsluha frézovacího stroje
pracovnice obsluhující frézu
frézař","Frézaři seřizují, programují a ovládají frézky, jejichž účelem je odříznout přebytečný materiál z kovových obrobků za použití počítačově řízených rotačních řezáků, ořezávací frézy. Čtou plány a instrukce k frézám a nástrojům, provádějí pravidelnou údržbu strojů a nastavují ovládací prvky frézy, jako je hloubka řezu nebo počet otáček.",7223.0,7223.4.6
http://data.europa.eu/esco/occupation/a1ccbfc4-3afd-4408-8e5a-41832cdef511,key_2578,bbd60866-e550-40a5-9d8c-6874a227ceb2,"velkoobchodník s textilem, textilními polotovary a surovinami/velkoobchodnice s textilem, textilními polotovary a surovinami","velkoobchodník s textilem, textilními polotovary a surovinami
velkoobchodnice s textilem, textilními polotovary a surovinami","Velkoobchodníci s textilem, textilními polotovary a surovinami vyhledávají potenciální velkoobchodní nákupčí a dodavatele a propojují je s cílem uspokojit jejich potřeby. Uzavírají obchody zahrnující velká množství zboží.",3324.0,3324.4.31
http://data.europa.eu/esco/occupation/a1cf1406-3632-494c-bff3-0bd5d5327d8f,key_2579,9d4d088a-dc4b-4b1c-b10f-049dc7a267dc,sčítací komisař/sčítací komisařka,"sčítací komisařka
sčítací komisař","Sčítací komisaři provádějí pohovory a vyplňují formuláře za účelem shromáždění údajů, které poskytli dotazovaní. Mohou shromažďovat informace prostřednictvím telefonu, pošty, osobních návštěv nebo na ulici. Tyto osoby vedou a pomáhají osobám účastnícím se pohovorů podávat informace, o které se tazatel zajímá, a to obvykle v souvislosti s demografickými informacemi pro vládní statistické účely.",4227.0,4227.2
http://data.europa.eu/esco/occupation/a1d0eb6b-20ac-4a2c-a7c1-9b016ea92b24,key_2580,129e6e6a-08cb-4795-bb43-5ca6ccb09da4,jasnovidec/jasnovidka,"numeroložka
jasnovidkyně
numerolog
jasnovidec","Jasnovidci tvrdí, že předpoví budoucí události v životě osoby a poskytnou jí výklad. Často používají různé techniky, jako je čtení karet, čtení z ruky nebo čtení z čajových lístků. 
 ",5161.0,5161.2
http://data.europa.eu/esco/occupation/a1da839e-9b70-4032-bb83-820790e77003,key_2581,43c6c6e8-0a2d-4ade-bf7c-5577dc50d673,pracovník půjčovny nákladních automobilů/pracovnice půjčovny nákladních automobilů,"vedoucí půjčovny nákladních automobilů
pracovnice půjčovny nákladních automobilů
pracovník půjčovny nákladních automobilů","Pracovníci půjčovny nákladních automobilů jsou odpovědní za pronájem vybavení a určení konkrétní doby používání. Dokumentují transakce, pojištění a platby.",5249.0,5249.2.1.6
http://data.europa.eu/esco/occupation/a1e1a788-2352-4172-8fcf-1f985a6968b0,key_2582,6c137c0a-8503-4837-a133-cfd20b74a691,kosmetik/kosmetička,"kosmetik
kosmetička","Kosmetici nabízejí péči o pokožku. Podle potřeb a typu pokožky svých klientů používají různé způsoby ošetření obličeje, jako jsou emulze, peelingy, slupovací a klasické masky, aby byla zachována zdravá a přitažlivá pleť. Kosmetici mohou rovněž poskytovat masáže šíje a ošetření těla, jako jsou např. zábaly. Kosmetici odstraňují nežádoucí chloupky na různých částech těla, např. na obočí, na horních rtech nebo v oblasti plavek. Provádějí masáž obličeje a nanášejí make-up pro různé příležitosti.",5142.0,5142.1
http://data.europa.eu/esco/occupation/a20e4b15-a128-49b9-a06a-e790e3bd5c68,key_2583,6831286f-5a5d-49e8-9880-2bb9c84025aa,hlavní someliér/hlavní someliérka,"hlavní someliérka
hlavní číšník pro víno
hlavní číšnice pro víno
hlavní someliér","Hlavní someliéři řídí objednávání, přípravu a servis vína a dalších souvisejících nápojů v pohostinství.",5131.0,5131.2.2.2
http://data.europa.eu/esco/occupation/a241eff8-309b-43ae-8890-ac4cfbd3067c,key_2584,51f3f545-2fed-4896-a7aa-3ea8400cebed,kontrolor zařízení pro chemickou výrobu/kontrolorka zařízení pro chemickou výrobu,"obsluha zařízení chemické výroby
operátor velína pro chemickou výrobu
operátorka velína pro chemickou výrobu","Kontroloři zařízení pro chemickou výrobu kontrolují chemickou výrobu. Provozují stroje a systémy, odpovídají za sledování a údržbu zařízení a přístrojů.",3133.0,3133.1
http://data.europa.eu/esco/occupation/a2494c65-11a8-4853-9371-c89333c33be1,key_2585,20861155-329e-4071-9347-d2e5742a31fb,velvyslanecký rada / velvyslanecká radová,"přidělenec obrany
kulturní přidělenec
vojenský přidělenec
kulturní přidělenkyně
obchodní přidělenec
kulturní atašé
atašé
vojenská přidělenkyně
vojenský atašé
přidělenkyně obrany
obchodní atašé
obchodní přidělenkyně
vojenská atašé","Velvyslanečtí radové dohlížejí na konkrétní útvary velvyslanectví, jako jsou útvary pro ekonomické, obranné nebo politické záležitosti. Vykonávají poradní funkce pro velvyslance a diplomatické funkce ve svém útvaru nebo specializaci. Vypracovávají politiky a metody provádění a dohlížejí na zaměstnance příslušného útvaru velvyslanectví.",1112.0,1112.3.2
http://data.europa.eu/esco/occupation/a256838b-0843-4ad2-a2fb-4531f94e63d8,key_2586,16c8ab49-5eec-4306-bbe5-a5cc40fca6d0,osobní kuchař/osobní kuchařka,"soukromý kuchař
osobní kuchař
osobní kuchařka
soukromá kuchařka","Osobní kuchaři dodržují pravidla týkající se potravin a hygienických zařízení pro přípravu stravy pro své zaměstnavatele. Berou v úvahu nesnášenlivost zaměstnavatele vůči konkrétním složkám nebo jejich preference a připravují pokrmy v domácnosti zaměstnavatele. Osobní kuchaři mohou být rovněž požádáni, aby při zvláštních příležitostech zorganizovali i malé bankety nebo jiné druhy stolování při zvláštních příležitostech.",3434.0,3434.1.3
http://data.europa.eu/esco/occupation/a273ec4c-96fd-48e5-9343-695a6bd08512,key_2587,986bb300-5748-4dac-b9f8-7f306708366a,technik výroby tkaných textilií/technička výroby tkaných textilií,"technička výroby tkaných textilií
technik žakárového vzorování textilií
technik výroby tkaných textilií
tkadlec
technička výroby tkanin
operátor tkacího procesu
tkadlena
operátorka tkacího procesu
technička žakárového vzorování textilií
technik výroby tkanin
operátor snovadel",Technici výroby tkaných textilií provádí úkony související s přípravou postupů tkaní.,8152.0,8152.3.3
