conceptType,conceptUri,skillType,reuseLevel,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0f58a178-1382-4df2-95e8-2b3f90e80e24,skill/competence,transversal,ústně komunikovat ve španělštině,released,,Ústně komunikovat ve španělštině.,http://data.europa.eu/esco/skill/14ee9f76-3524-43d5-8a1a-5ba8283f8bd7,španělština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0f775d62-d543-40dd-aaaf-56195c2bfd80,skill/competence,transversal,rozumět mluvené perštině,released,,Rozumět mluvené formě perštiny.,http://data.europa.eu/esco/skill/58cabf75-2520-4358-a210-2cbc628f4aa2,perština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/10323914-77bf-41f2-b081-42b6e972d08d,skill/competence,transversal,rozumět psané islandštině,released,,Číst a rozumět psanému textu v islandštině.,http://data.europa.eu/esco/skill/a18e3090-6afb-4afb-a055-1f83bbe498e3,islandština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/10b306ae-6a1b-4e62-b06d-8702cfc6814c,skill/competence,transversal,rozumět psané tamilštině,released,,Číst a rozumět psanému textu v tamilštině.,http://data.europa.eu/esco/skill/e9e9b625-f59f-4bda-952d-1f9831e6dfda,tamilština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1299a59c-8b90-4838-8bef-0065cdfc8bdf,skill/competence,transversal,psát paňdžábsky,released,,Vypracovávat písemné texty v paňdžábštině.,http://data.europa.eu/esco/skill/e05b9e06-d298-4646-b762-acbd485a20e9,paňdžábština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/13fc11d0-d35f-4a2c-9115-b0e2ed372523,skill/competence,transversal,rozumět psané baskičtině,released,,Číst a chápat psaný text v baskičtině.,http://data.europa.eu/esco/skill/a28fa5f1-be5b-4608-8376-acea8c2f8cb1,baskičtina
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1408a267-21e1-479e-bd40-197fa14b3024,skill/competence,transversal,rozumět mluvené estonštině,released,,Rozumět mluvené formě estonštiny.,http://data.europa.eu/esco/skill/1b7e6f56-bc73-4bcc-81ae-09252175d418,estonština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1495fc80-05c1-4f5b-82ae-9abc612364cc,skill/competence,transversal,rozumět mluvené černohorštině,released,,Rozumět mluvené formě černohorštiny.,http://data.europa.eu/esco/skill/2358a146-6e8f-43cb-872f-a12ac9c57d60,černohorština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/14ee9f76-3524-43d5-8a1a-5ba8283f8bd7,knowledge,transversal,španělština,released,,Španělský jazyk. Španělština je úředním a pracovním jazykem EU.,http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10 | http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66,ovládání jazyků | Jazyky
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/14fc9b06-bf35-4b35-8f07-c53856ef18bc,skill/competence,transversal,psát rusky,released,,Vypracovávat písemné texty v ruštině.,http://data.europa.eu/esco/skill/6891bbce-20bf-4afc-bd5e-75bdf54c0165,ruština
