conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/128f318e-1bc8-4921-821f-b0aad1d98922,stanovit vhodný systém vytápění a chlazení,released,skill/competence,sector-specific,"určení systémů, které odpovídají požadavkům obytných budov s téměř nulovou spotřebou (NZEB), určení vhodného systému vytápění a chlazení odpovídajícího požadavkům na budovy NZEB, určit požadavky na budovy NZEB systému HVAC","Stanovit vhodný systém vzhledem k dostupným zdrojům energie (půda, plyn, elektřina, obvod atd.), který vyhovuje náročnosti budovy s téměř nulovou spotřebou energie.
	",http://data.europa.eu/esco/skill/6ee936b0-4e0c-4e04-97c7-1f4ee9230d67,vypracovávat cíle a strategie
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/12d7ea6f-ec1f-4f9a-a50b-8e2e9693f068,přeprava nebezpečných materiálů,released,knowledge,sector-specific,,"Předpisy a bezpečnostní postupy v rámci přepravy nebezpečných materiálů a produktů, jako je nebezpečný odpad, chemické látky, výbušniny a hořlavé materiály.",http://data.europa.eu/esco/isced-f/1041,dopravní služby
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1565b401-1754-4b07-8f1a-eb5869e64d95,dopady změny klimatu,released,knowledge,cross-sector,důsledky změny klimatu,"Pochopení dopadů změny klimatu na biologickou rozmanitost a životní podmínky rostlin a zvířat.
    ",http://data.europa.eu/esco/isced-f/0532,vědy o zemi
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/15c522eb-cd6d-4b00-9d95-db20c0f8df88,potenciál úspory energie u automatizovaných systémů střídání směn,released,knowledge,occupation-specific,,"Potenciál úspory energie v automatizovaných systémech střídání směn pomocí mechanismů, jako je zvýšení účinnosti a lepší předvídání nadcházejících událostí.
	",http://data.europa.eu/esco/skill/83fc0b2b-6cd2-46af-b1ff-d3fc83604c26 | http://data.europa.eu/esco/isced-f/0713,energetická účinnost | elektrotechnika a energetika
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/17446f6d-d8b0-4945-a37b-9ad0dfc9f3e8,navrhnout systém solárního absorpčního chlazení,released,skill/competence,sector-specific,,"Navrhnout systém výroby solárního absorpčního chlazení s regenerací pomocí solárních trubicových tepelných kolektorů. Vypočítat přesnou potřebu chlazení budovy pro výběr správného výkonu (kW). Vypracovat podrobný návrh zařízení, princip a strategii automatizace podle dostupných výrobků a koncepcí a vybrat vestavěné produkty.
	",http://data.europa.eu/esco/skill/39fa260c-4f85-48e3-83ce-e292e696c233,navrhovat elektrické nebo elektronické systémy a zařízení
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/17447ce4-4c4a-4158-b1ea-03ed5364b4e8,spravovat plány na skladování organických vedlejších produktů,released,skill/competence,occupation-specific,,Zavádět metody a postupy pro skladování organických vedlejších produktů v souladu se stávajícími právními předpisy a politikami v oblasti bezpečnosti a ochrany zdraví. Sledovat provádění plánů a reagovat na případné problémy.,http://data.europa.eu/esco/skill/26532713-d18f-4e5c-8365-1f57e00f8422 | http://data.europa.eu/esco/skill/e6eeb84c-ad99-42e2-b883-e6ce338aef59,řídit provoz skladu | plánovat operace a výrobní proces
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/186da517-9a3e-41cd-9158-4001e3694459,ekologické zemědělství,released,knowledge,sector-specific,biozemědělství,"Zásady, techniky a předpisy ekologického zemědělství. Ekologické zemědělství je metoda zemědělské produkce, která klade velký důraz na ochranu životního prostředí a ekologickou rovnováhu.",http://data.europa.eu/esco/isced-f/0811,rostlinná a živošičná výroba
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/189777b9-6e95-4f76-b8db-f8e0f0477bc6,vypracovávat zavlažovací strategie,released,skill/competence,sector-specific,,"Plánovat zavedení metod a postupů pro zavlažování půdy umělými prostředky, se zohledněním strategií pro udržitelnost spotřeby vody.
 ",http://data.europa.eu/esco/skill/8ed41305-4abf-4b54-9f8f-0e043d26feba | http://data.europa.eu/esco/skill/7a8fb784-67fa-41e9-a75c-6b491d91f800,vypracovávat politiky a právní předpisy | vypracovat strategii k řešení problémů
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/18d3f89a-6ac5-4ca6-bf93-0baec4e13bcd,instalovat fotovoltaické systémy,released,skill/competence,occupation-specific,,"Instalovat systémy, které generují elektrickou energii díky přeměně světla na elektrický proud prostřednictvím tzv. fotovoltaického efektu. Zajistit dodržování předpisů a správnou instalaci fotovoltaického energetického systému.",http://data.europa.eu/esco/skill/a7065828-10aa-4aba-b7d4-f23a30df5060,"provádět instalaci a opravy elektrických, elektronických a přesných zařízení"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/192f3ca9-2232-40d0-b241-387966ce2de8,právní předpisy v oblasti přepravy odpadů,released,knowledge,cross-sector,,"Nařízení a právní předpisy týkající se bezpečné přepravy nebezpečných a bezpečných odpadů, výrobků a zařízení.",http://data.europa.eu/esco/isced-f/0421,právo
