conceptType,conceptUri,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,scopeNote,inScheme,description,code
SkillGroup,http://data.europa.eu/esco/isced-f/0288,interdisciplinární programy a kvalifikace zahrnující umění a humanitní vědy,,,released,,,"http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,
SkillGroup,http://data.europa.eu/esco/isced-f/029,umění a humanitní vědy jinde neklasifikované,,,released,,,"http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,
SkillGroup,http://data.europa.eu/esco/isced-f/0299,umění a humanitní vědy jinde neklasifikované,,,released,,,"http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,
SkillGroup,http://data.europa.eu/esco/isced-f/03,"společenské vědy, žurnalistika a informace",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/isced-f",,
SkillGroup,http://data.europa.eu/esco/isced-f/030,"společenské vědy, žurnalistika a informace dále nedefinované",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,
SkillGroup,http://data.europa.eu/esco/isced-f/0300,"společenské vědy, žurnalistika a informace dále nedefinované",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,
SkillGroup,http://data.europa.eu/esco/isced-f/031,společenské vědy a vědy o lidském chování,,,released,2021-08-30T15:15:39.32Z,,"http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,
SkillGroup,http://data.europa.eu/esco/isced-f/0310,společenské vědy a vědy o lidském chování dále nedefinované,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,
SkillGroup,http://data.europa.eu/esco/isced-f/0311,ekonomie,,,released,2020-12-11T09:35:38.933Z,,"http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,
SkillGroup,http://data.europa.eu/esco/isced-f/0312,politické vědy a občanská nauka,,,released,2021-07-30T14:05:56.438Z,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills",,
SkillGroup,http://data.europa.eu/esco/isced-f/0313,psychologie,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,
SkillGroup,http://data.europa.eu/esco/isced-f/0314,sociologie a kulturologie,,,released,2020-12-04T13:31:07.399Z,,"http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,
SkillGroup,http://data.europa.eu/esco/isced-f/0319,společenské vědy a vědy o lidském chování jinde neklasifikované,,,released,2021-08-30T15:15:21.651Z,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/isced-f",,
